season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition,startPosition,qualyPosition_fromQ,raceGain
2021,1,Bahrain Grand Prix,R,Sakhir,ALO,96.063,97.462388,0.506573,319.0,9.0,19.0,,9.0,9.0,-10.0
2021,1,Bahrain Grand Prix,R,Sakhir,BOT,92.59246,95.237531,1.100309,297.0,3.0,3.0,,3.0,3.0,0.0
2021,1,Bahrain Grand Prix,R,Sakhir,GAS,94.09,96.326121,1.302451,301.0,5.0,17.0,,5.0,5.0,-12.0
2021,1,Bahrain Grand Prix,R,Sakhir,GIO,95.122,96.654733,0.810023,320.0,12.0,12.0,,12.0,12.0,0.0
2021,1,Bahrain Grand Prix,R,Sakhir,HAM,94.015,95.18339551,0.781362,322.0,2.0,1.0,,2.0,2.0,1.0
2021,1,Bahrain Grand Prix,R,Sakhir,LAT,96.602,97.833133,0.5047307000000001,298.0,17.0,18.0,,17.0,17.0,-1.0
2021,1,Bahrain Grand Prix,R,Sakhir,LEC,94.988,96.111434,0.893461,297.0,4.0,6.0,,4.0,4.0,-2.0
2021,1,Bahrain Grand Prix,R,Sakhir,MSC,96.134,97.323741,0.643252,314.0,18.0,16.0,,18.0,19.0,2.0
2021,1,Bahrain Grand Prix,R,Sakhir,NOR,94.396,95.83868,0.9431,295.0,7.0,4.0,,7.0,7.0,3.0
2021,1,Bahrain Grand Prix,R,Sakhir,OCO,95.25,96.788674,0.793501,331.0,16.0,13.0,,16.0,16.0,3.0
2021,1,Bahrain Grand Prix,R,Sakhir,PER,93.97,95.777936,1.177139,326.0,,5.0,,,11.0,
2021,1,Bahrain Grand Prix,R,Sakhir,RAI,95.192,96.62134,0.812014,294.0,14.0,11.0,,14.0,14.0,3.0
2021,1,Bahrain Grand Prix,R,Sakhir,RIC,94.932,96.240361,0.873479,297.0,6.0,7.0,,6.0,6.0,-1.0
2021,1,Bahrain Grand Prix,R,Sakhir,RUS,95.036,96.887744,0.971736,318.0,15.0,14.0,,15.0,15.0,1.0
2021,1,Bahrain Grand Prix,R,Sakhir,SAI,94.509,96.167804,1.09755,296.0,8.0,8.0,,8.0,8.0,0.0
2021,1,Bahrain Grand Prix,R,Sakhir,STR,94.865,96.563086,0.78188,326.0,10.0,10.0,,10.0,10.0,0.0
