driverId,driverName,driverCode
albon,Alexander Albon,ALB
alonso,Fernando Alonso,ALO
antonelli,Andrea Kimi Antonelli,ANT
bearman,Oliver Bearman,BEA
bortoleto,Gabriel Bortoleto,BOR
bottas,Valtteri Bottas,BOT
colapinto,Franco Colapinto,COL
de_vries,Nyck de Vries,DEV
doohan,Jack Doohan,DOO
gasly,Pierre Gasly,GAS
giovinazzi,Antonio Giovinazzi,GIO
hadjar,Isack Hadjar,HAD
hamilton,Lewis Hamilton,HAM
hulkenberg,Nico Hülkenberg,HUL
kevin_magnussen,Kevin Magnussen,MAG
kubica,Robert Kubica,KUB
latifi,Nicholas Latifi,LAT
lawson,Liam Lawson,LAW
leclerc,Charles Leclerc,LEC
max_verstappen,Max Verstappen,VER
mazepin,Nikita Mazepin,MAZ
mick_schumacher,Mick Schumacher,MSC
norris,Lando Norris,NOR
ocon,Esteban Ocon,OCO
perez,Sergio Pérez,PER
piastri,Oscar Piastri,PIA
raikkonen,Kimi Räikkönen,RAI
ricciardo,Daniel Ricciardo,RIC
russell,George Russell,RUS
sainz,Carlos Sainz,SAI
sargeant,Logan Sargeant,SAR
stroll,Lance Stroll,STR
tsunoda,Yuki Tsunoda,TSU
vettel,Sebastian Vettel,VET
zhou,Guanyu Zhou,ZHO
