timeKey,season,round,driverId,constructorId,circuit,session,circuitKey,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition,startPosition,driverPoints,constructorPoints,estimatedSalaryUSD,estimatedSalaryUSD_imputed,costCapUSD,raceGain,consistencyIndex,qualifyingPerformanceIndex,topSpeedIndex,driverROI,driverEfficiency,budgetEfficiency,pointsPerMillionUSD,speedEfficiency,isPodium,teamPodiums,costPerPodium,teammateDelta,avgTeammateDelta_season,paceAdvantage,speed_zscore,pointsRankInTeam,qualiToRaceDelta,avgFinishPosition_season,avgQualyPosition_season,avgRaceGain_season,avgConsistency_season,avgTopSpeed_season,driverPerformanceScore,driverPerformanceScore_scaled
2021_1,2021,1,alonso,alpine,Sakhir,Q,Bahrain Grand Prix_Sakhir,90.249,90.891,0.583018,314.0,,,9.0,9.0,81.0,155.0,20000000.0,20000000.0,145000000.0,,0.583018,9.0,314.0,246913.5802469136,4.05,935483.870967742,1.0689655172413792,2.1655172413793102,0,2,72500000.0,0.0,0.1236097560975609,0.0121763074771104,0.0216144815161199,1.0,,9.45,10.857142857142858,0.55,0.6606089587804878,315.1463414634146,-2.8099708762978657,-0.4341340165495417
2021_1,2021,1,alonso,alpine,Sakhir,R,Bahrain Grand Prix_Sakhir,96.063,97.462388,0.506573,319.0,9.0,19.0,,9.0,81.0,155.0,20000000.0,20000000.0,145000000.0,-10.0,0.506573,,319.0,246913.5802469136,4.05,935483.870967742,1.0689655172413792,2.2,0,2,72500000.0,0.8130000000000024,0.1236097560975609,0.0374818856740601,0.5323146414434968,1.0,-10.0,9.45,10.857142857142858,0.55,0.6606089587804878,315.1463414634146,-2.758900860305128,-0.4179952053766185
2021_1,2021,1,bottas,mercedes,Sakhir,Q,Bahrain Grand Prix_Sakhir,89.586,90.3494,0.590492,312.0,,,3.0,3.0,226.0,613.5,10000000.0,10000000.0,145000000.0,,0.590492,3.0,312.0,44247.78761061947,22.6,236348.81825590876,4.231034482758621,2.1517241379310343,0,26,5576923.076923077,0.2009999999999934,0.383057179487179,0.0047405143729504,-0.1826655824548308,2.0,,6.166666666666667,3.761904761904762,-1.1111111111111112,0.7775274735897436,316.56410256410254,1.1630283134431616,0.8213871041511994
2021_1,2021,1,bottas,mercedes,Sakhir,R,Bahrain Grand Prix_Sakhir,92.59246,95.237531,1.100309,297.0,3.0,3.0,,3.0,226.0,613.5,10000000.0,10000000.0,145000000.0,0.0,1.100309,,297.0,44247.78761061947,22.6,236348.81825590876,4.231034482758621,2.0482758620689654,1,26,5576923.076923077,0.0,0.383057179487179,0.0,-1.7147660622369616,2.0,0.0,6.166666666666667,3.761904761904762,-1.1111111111111112,0.7775274735897436,316.56410256410254,1.0098182654649486,0.7729706706324302
2021_1,2021,1,gasly,alphatauri,Sakhir,Q,Bahrain Grand Prix_Sakhir,89.809,90.4654,0.557317,318.0,,,5.0,5.0,110.0,142.0,5000000.0,5000000.0,145000000.0,,0.557317,5.0,318.0,45454.545454545456,22.0,1021126.7605633804,0.9793103448275862,2.193103448275862,0,1,145000000.0,0.0,0.0640750000000004,0.0072415428227659,0.4301746094580214,1.0,,8.421052631578947,6.714285714285714,-1.1666666666666667,0.7263052411137441,313.4853985474414,0.2290335533757808,0.5262322118682099
2021_1,2021,1,gasly,alphatauri,Sakhir,R,Bahrain Grand Prix_Sakhir,94.09,96.326121,1.302451,301.0,5.0,17.0,,5.0,110.0,142.0,5000000.0,5000000.0,145000000.0,-12.0,1.302451,,301.0,45454.545454545456,22.0,1021126.7605633804,0.9793103448275862,2.075862068965517,0,1,145000000.0,0.0,0.0640750000000004,0.0161734551603878,-1.30620593429506,1.0,-12.0,8.421052631578947,6.714285714285714,-1.1666666666666667,0.7263052411137441,313.4853985474414,0.0553954990004727,0.4713602538802715
2021_1,2021,1,giovinazzi,alfa,Sakhir,Q,Bahrain Grand Prix_Sakhir,90.708,91.61425,0.886964,320.0,,,12.0,12.0,3.0,13.0,1000000.0,1000000.0,145000000.0,,0.886964,12.0,320.0,333333.3333333333,3.0,11153846.153846154,0.0896551724137931,2.206896551724138,0,0,,0.0,0.2247435897435897,0.0173241642415287,0.6344546734289722,2.0,,13.2,13.578947368421051,0.2631578947368421,0.5662005897435898,318.62,-4.141069328473567,-0.8547790105767352
2021_1,2021,1,giovinazzi,alfa,Sakhir,R,Bahrain Grand Prix_Sakhir,95.122,96.654733,0.810023,320.0,12.0,12.0,,12.0,3.0,13.0,1000000.0,1000000.0,145000000.0,0.0,0.810023,,320.0,333333.3333333333,3.0,11153846.153846154,0.0896551724137931,2.206896551724138,0,0,,0.0,0.2247435897435897,0.0273190711209099,0.6344546734289722,2.0,0.0,13.2,13.578947368421051,0.2631578947368421,0.5662005897435898,318.62,-4.141069328473567,-0.8547790105767352
2021_1,2021,1,hamilton,mercedes,Sakhir,Q,Bahrain Grand Prix_Sakhir,89.385,90.291333,0.941042,314.0,,,2.0,2.0,387.5,613.5,30000000.0,30000000.0,145000000.0,,0.941042,2.0,314.0,77419.35483870968,12.916666666666666,236348.81825590876,4.231034482758621,2.1655172413793102,0,26,5576923.076923077,0.0,0.2329597560975609,0.0024862241558523,0.0216144815161199,1.0,,3.5,2.142857142857143,-0.35,0.8987013321951219,316.5719918308943,0.7233627435035282,0.682446877198845
2021_1,2021,1,hamilton,mercedes,Sakhir,R,Bahrain Grand Prix_Sakhir,94.015,95.18339551,0.781362,322.0,2.0,1.0,,2.0,387.5,613.5,30000000.0,30000000.0,145000000.0,1.0,0.781362,,322.0,77419.35483870968,12.916666666666666,236348.81825590876,4.231034482758621,2.220689655172414,1,26,5576923.076923077,1.422539999999998,0.2329597560975609,0.0153634540004661,0.838734737399923,1.0,1.0,3.5,2.142857142857143,-0.35,0.8987013321951219,316.5719918308943,0.8050747690919086,0.708268975075522
