season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition
2021,17,Pre-Season Test,R,Austin,VER,99.096,100.519792,0.826614,299.0,1.0,1.0,
2021,17,Pre-Season Test,R,Austin,HAM,98.485,100.492811,1.037817,302.0,2.0,2.0,
2021,17,Pre-Season Test,R,Austin,PER,99.566,101.211634,0.934478,296.0,3.0,3.0,
2021,17,Pre-Season Test,R,Austin,LEC,99.303,101.356153,1.03825,302.0,4.0,4.0,
2021,17,Pre-Season Test,R,Austin,RIC,100.345,101.791384,0.851573,302.0,6.0,5.0,
2021,17,Pre-Season Test,R,Austin,BOT,100.147,101.721176,1.383667,305.0,9.0,6.0,
2021,17,Pre-Season Test,R,Austin,SAI,100.377,101.801156,0.874639,324.0,5.0,7.0,
2021,17,Pre-Season Test,R,Austin,NOR,100.228,101.883,1.14617,303.0,7.0,8.0,
2021,17,Pre-Season Test,R,Austin,TSU,101.151,102.73756,0.991637,300.0,10.0,9.0,
2021,17,Pre-Season Test,R,Austin,VET,100.481,102.64,1.2690000000000001,293.0,18.0,10.0,
2021,17,Pre-Season Test,R,Austin,GIO,100.792,102.9039,1.21793,306.0,12.0,11.0,
2021,17,Pre-Season Test,R,Austin,STR,101.189,103.079312,1.160267,292.0,13.0,12.0,
2021,17,Pre-Season Test,R,Austin,RAI,101.34,102.830553,1.008875,309.0,15.0,13.0,
2021,17,Pre-Season Test,R,Austin,RUS,101.12,103.211541,1.151406,298.0,20.0,14.0,
2021,17,Pre-Season Test,R,Austin,LAT,101.818,103.573125,0.962096,301.0,14.0,15.0,
2021,17,Pre-Season Test,R,Austin,MSC,101.395,103.620025,1.1322619999999999,299.0,16.0,16.0,
2021,17,Pre-Season Test,R,Austin,MAZ,102.886,103.87004,0.700455,304.0,17.0,17.0,
2021,17,Pre-Season Test,R,Austin,ALO,100.067,102.46945,1.416331,302.0,19.0,18.0,
2021,17,Pre-Season Test,R,Austin,OCO,102.194,103.641176,0.84156,298.0,11.0,19.0,
2021,17,Pre-Season Test,R,Austin,GAS,102.015,103.8126,0.860981,300.0,8.0,20.0,
2021,17,Pre-Season Test,Q,Austin,VER,92.91,93.6892,0.712277,319.0,,1.0,1.0
2021,17,Pre-Season Test,Q,Austin,HAM,93.119,93.9712,0.702454,324.0,,2.0,2.0
2021,17,Pre-Season Test,Q,Austin,PER,93.134,93.918333,0.614212,319.0,,3.0,3.0
2021,17,Pre-Season Test,Q,Austin,BOT,93.475,94.1752,0.485659,323.0,,4.0,4.0
2021,17,Pre-Season Test,Q,Austin,LEC,93.606,94.173,0.649182,323.0,,5.0,5.0
2021,17,Pre-Season Test,Q,Austin,SAI,93.792,94.138,0.337677,322.0,,6.0,6.0
2021,17,Pre-Season Test,Q,Austin,RIC,93.808,94.2018,0.347584,323.0,,7.0,7.0
2021,17,Pre-Season Test,Q,Austin,NOR,93.88,94.08325,0.317947,322.0,,8.0,8.0
2021,17,Pre-Season Test,Q,Austin,GAS,94.118,94.6466,0.360479,323.0,,9.0,9.0
2021,17,Pre-Season Test,Q,Austin,TSU,94.918,95.465333,0.538442,322.0,,10.0,10.0
2021,17,Pre-Season Test,Q,Austin,OCO,95.377,95.66925,0.327858,330.0,,11.0,11.0
2021,17,Pre-Season Test,Q,Austin,VET,95.281,95.497666,0.215509,319.0,,12.0,12.0
2021,17,Pre-Season Test,Q,Austin,GIO,95.794,95.857,0.089095,326.0,,13.0,13.0
2021,17,Pre-Season Test,Q,Austin,ALO,95.756,95.994,0.336582,314.0,,14.0,14.0
2021,17,Pre-Season Test,Q,Austin,RUS,95.73,95.820333,0.142829,320.0,,15.0,15.0
2021,17,Pre-Season Test,Q,Austin,STR,95.983,96.101,0.166877,316.0,,16.0,16.0
2021,17,Pre-Season Test,Q,Austin,LAT,95.995,96.118,0.173948,319.0,,17.0,17.0
2021,17,Pre-Season Test,Q,Austin,RAI,96.311,96.3235,0.017677,324.0,,18.0,18.0
2021,17,Pre-Season Test,Q,Austin,MSC,96.499,96.754333,0.421636,320.0,,19.0,19.0
2021,17,Pre-Season Test,Q,Austin,MAZ,96.796,97.345,0.776403,320.0,,20.0,20.0
2021,1,Bahrain Grand Prix,R,Sakhir,HAM,94.015,95.12075,0.781362,322.0,2.0,1.0,
2021,1,Bahrain Grand Prix,R,Sakhir,VER,93.228,95.185333,1.06976,298.0,1.0,2.0,
2021,1,Bahrain Grand Prix,R,Sakhir,BOT,92.09,95.237531,1.100309,297.0,3.0,3.0,
2021,1,Bahrain Grand Prix,R,Sakhir,NOR,94.396,95.83868,0.9431,295.0,7.0,4.0,
2021,1,Bahrain Grand Prix,R,Sakhir,PER,93.97,95.777936,1.177139,326.0,0.0,5.0,
2021,1,Bahrain Grand Prix,R,Sakhir,LEC,94.988,96.111434,0.893461,297.0,4.0,6.0,
2021,1,Bahrain Grand Prix,R,Sakhir,RIC,94.932,96.240361,0.873479,297.0,6.0,7.0,
2021,1,Bahrain Grand Prix,R,Sakhir,SAI,94.509,96.167804,1.09755,296.0,8.0,8.0,
2021,1,Bahrain Grand Prix,R,Sakhir,TSU,94.761,96.439276,1.001485,324.0,13.0,9.0,
2021,1,Bahrain Grand Prix,R,Sakhir,STR,94.865,96.563086,0.78188,326.0,10.0,10.0,
2021,1,Bahrain Grand Prix,R,Sakhir,RAI,95.192,96.62134,0.812014,294.0,14.0,11.0,
2021,1,Bahrain Grand Prix,R,Sakhir,GIO,95.122,96.654733,0.810023,320.0,12.0,12.0,
